,pH,DO,Saturation,Temp,Conductivity,Drainage_Area,Nitrate_Plus_Nitrite
0,46,72,47,11,47,11,8
1,54,74,47,9,42,11,5
2,69,66,47,54,62,11,14
3,69,63,47,57,57,11,11
4,84,51,47,84,55,11,10
5,84,49,47,85,49,11,7
6,42,51,48,44,42,3,16
7,39,38,47,94,27,5,0
8,3,0,3,100,45,1,0
9,0,10,9,47,44,0,0
10,14,27,27,67,27,10,1
11,33,54,45,84,28,7,0
12,1,40,36,35,54,3,0
13,65,61,60,52,41,3,0
14,48,45,51,84,38,3,1
15,35,28,31,36,30,2,6
16,66,28,34,56,91,2,1
17,38,51,62,90,45,14,1
18,52,49,52,62,46,100,7
19,50,51,47,43,45,5,6
20,50,51,47,43,45,10,6
21,50,51,47,43,45,3,6
22,50,51,47,43,45,3,6
23,50,51,47,43,45,3,6
24,50,51,47,43,45,1,6
25,50,51,47,43,45,14,6
26,50,51,47,43,45,100,6
27,54,57,47,60,52,11,11
28,46,53,47,62,47,11,6
29,39,51,47,43,28,11,3
30,39,50,47,42,21,11,4
31,12,44,35,12,48,3,5
32,48,65,52,9,30,5,0
33,15,43,34,13,41,1,0
34,23,45,33,1,54,0,0
35,31,55,41,0,35,10,1
36,46,59,48,13,49,7,0
37,28,65,57,25,53,3,0
38,48,61,55,28,45,3,0
39,63,71,67,36,38,3,0
40,75,67,62,33,28,1,0
41,86,100,100,48,44,2,2
42,41,62,56,28,95,2,5
43,57,91,87,38,36,14,0
44,50,51,47,43,45,14,0
45,57,64,59,35,47,100,5
46,61,62,47,50,59,11,11
47,61,57,47,66,54,11,8
48,18,41,32,16,44,3,7
49,48,66,56,22,28,5,0
50,19,43,33,18,42,1,0
51,17,48,35,4,49,0,0
52,30,49,38,14,30,10,0
53,54,66,57,28,0,7,0
54,36,67,55,31,43,3,0
55,60,69,57,25,37,3,0
56,69,70,60,27,32,3,0
57,69,69,61,28,21,1,0
58,71,77,77,55,45,2,1
59,50,51,47,43,45,2,1
60,40,54,48,35,69,2,5
61,51,78,70,34,35,14,1
62,54,52,46,36,40,100,8
63,50,51,47,43,45,11,6
64,50,51,47,43,45,11,6
65,38,56,45,13,47,3,3
66,61,57,51,30,37,5,0
67,32,42,34,19,54,1,0
68,21,20,13,11,54,0,0
69,45,46,38,20,35,10,0
70,54,69,59,31,52,7,0
71,47,70,56,11,52,3,0
72,47,70,56,11,52,3,0
73,69,68,59,20,45,3,0
74,74,65,63,44,42,3,0
75,81,66,61,34,31,1,0
76,65,67,72,76,48,2,2
77,47,64,51,36,99,2,2
78,64,79,78,44,43,14,1
79,68,55,51,34,50,100,6
80,50,51,47,43,45,11,6
81,50,51,47,43,45,11,6
82,50,51,47,43,45,5,6
83,50,51,47,43,45,10,6
84,50,51,47,43,45,3,6
85,50,51,47,43,45,3,6
86,50,51,47,43,45,3,6
87,50,51,47,43,45,1,6
88,50,51,47,43,45,14,6
89,50,51,47,43,45,100,6
90,33,46,37,15,48,3,7
91,60,49,44,31,40,5,0
92,30,27,23,27,56,1,0
93,21,23,16,12,52,0,0
94,48,46,38,19,33,10,0
95,53,51,48,38,51,7,0
96,27,55,45,15,46,3,0
97,75,59,51,22,45,3,0
98,73,50,44,27,41,3,0
99,86,57,52,33,30,1,0
100,98,75,83,70,51,2,0
101,75,55,49,30,66,2,2
102,75,55,49,30,66,2,2
103,61,55,51,35,41,14,1
104,74,48,46,41,48,100,5
105,65,65,47,57,65,11,15
106,64,60,47,66,57,11,9
107,24,52,45,26,47,3,11
108,60,44,46,59,40,5,0
109,30,27,28,55,63,1,0
110,15,18,15,33,51,0,0
111,37,28,28,59,31,10,0
112,47,50,54,67,43,7,0
113,36,63,55,22,52,3,0
114,65,61,57,37,42,3,0
115,69,49,50,54,40,3,1
116,81,55,59,65,28,1,0
117,71,69,84,94,52,2,0
118,34,35,38,70,38,2,5
119,34,35,38,70,38,2,4
120,47,49,53,66,36,14,1
121,57,45,51,76,47,100,7
122,50,51,47,43,45,11,6
123,50,51,47,43,45,11,6
124,25,49,42,26,47,3,5
125,64,49,51,59,42,5,1
126,31,33,33,49,65,1,0
127,15,28,25,31,52,0,0
128,37,36,35,50,31,10,0
129,46,47,50,61,52,7,0
130,36,65,57,23,52,3,0
131,66,62,57,36,43,3,0
132,66,62,57,36,43,3,0
133,72,50,52,55,43,3,0
134,80,55,60,66,28,1,0
135,60,63,74,79,40,2,2
136,28,24,27,65,68,2,1
137,59,53,56,62,44,14,1
138,62,50,56,71,62,100,18
139,75,76,47,55,61,11,15
140,75,72,47,59,57,11,11
141,27,49,42,24,47,3,4
142,27,49,42,24,47,3,4
143,68,52,53,53,46,5,1
144,38,43,41,44,72,1,0
145,17,22,18,32,53,0,0
146,45,35,35,51,34,10,0
147,51,52,53,56,55,7,0
148,37,64,55,19,52,3,0
149,67,64,59,31,41,3,0
150,72,49,49,48,41,3,0
151,83,55,57,56,28,1,0
152,13,27,23,32,36,2,8
153,27,0,0,60,44,2,1
154,50,42,42,49,35,14,2
155,75,54,56,60,57,100,12
156,50,51,47,43,45,11,6
157,50,51,47,43,45,11,6
158,30,53,46,22,47,3,8
159,64,48,48,50,41,5,0
160,36,43,40,37,65,1,0
161,20,25,20,24,54,0,0
162,46,41,38,38,34,10,0
163,55,50,51,52,51,7,0
164,39,66,56,17,53,3,0
165,39,66,56,17,53,3,0
166,68,64,57,28,42,3,0
167,73,55,52,40,43,3,0
168,86,57,59,52,28,1,0
169,27,57,54,37,36,2,7
170,48,17,17,50,100,2,1
171,60,56,54,44,46,14,1
172,76,53,54,54,56,100,11
173,50,51,47,43,45,11,6
174,50,51,47,43,45,11,6
175,46,82,72,22,45,2,40
176,65,76,68,28,45,4,25
177,45,50,47,41,45,1,0
178,30,61,47,20,45,0,7
179,56,63,61,44,45,10,6
180,67,77,74,41,45,7,0
181,48,68,57,19,45,3,6
182,75,71,62,22,45,3,2
183,61,74,57,1,45,3,2
184,63,73,56,1,45,3,1
185,87,73,65,25,45,1,2
186,65,65,57,27,45,2,5
187,48,62,48,5,45,2,25
188,49,56,43,4,45,13,3
189,75,62,52,16,45,100,38
190,32,60,50,16,45,2,64
191,62,72,59,11,45,4,25
192,44,51,44,22,45,1,0
193,34,44,34,5,45,0,0
194,54,66,56,18,45,10,1
195,69,74,68,30,45,7,0
196,49,64,54,17,45,3,0
197,67,73,64,23,45,3,0
198,69,65,57,22,45,3,0
199,79,70,62,28,45,1,0
200,100,89,88,47,45,2,6
201,48,57,48,14,45,2,27
202,72,71,66,35,45,13,1
203,73,71,64,27,45,100,25
204,33,81,67,12,45,11,51
205,50,51,47,43,45,5,6
206,50,51,47,43,45,10,6
207,50,51,47,43,45,3,6
208,50,51,47,43,45,3,6
209,50,51,47,43,45,3,6
210,50,51,47,43,45,1,6
211,50,51,47,43,45,14,6
212,50,51,47,43,45,100,6
213,14,37,34,40,38,2,51
214,39,32,36,71,38,4,6
215,18,14,17,75,46,1,0
216,15,22,22,55,36,0,1
217,36,32,37,75,28,10,1
218,63,49,56,77,42,7,0
219,51,52,53,56,55,3,0
220,54,53,54,55,41,3,1
221,57,37,41,67,38,3,2
222,64,46,51,72,26,1,0
223,39,30,36,81,46,2,1
224,18,14,15,60,70,2,27
225,39,40,43,64,40,13,0
226,49,40,43,64,38,100,38
227,49,39,42,63,38,100,38
228,3,8,8,61,11,11,2
229,20,42,44,57,27,2,64
230,42,35,41,79,33,4,6
231,9,3,6,87,43,1,0
232,25,49,52,61,45,0,0
233,40,41,52,98,30,10,0
234,60,53,64,88,43,7,0
235,30,54,50,37,48,3,0
236,52,55,53,42,41,3,1
237,54,49,52,60,35,3,3
238,65,52,56,62,26,1,0
239,22,17,19,74,32,2,6
240,24,25,28,73,32,2,6
241,18,8,8,48,80,2,28
242,36,41,42,53,38,13,12
243,51,44,46,57,39,100,25
244,12,10,9,51,10,11,7
245,18,39,36,34,45,2,100
246,57,51,52,55,39,4,2
247,24,26,28,66,52,1,0
248,21,48,43,30,46,0,0
249,57,60,70,84,30,10,1
250,66,57,66,77,47,7,0
251,43,52,48,38,46,3,0
252,55,61,57,38,40,3,3
253,70,57,53,35,38,3,1
254,76,56,56,50,26,1,0
255,76,56,56,50,26,1,0
256,69,73,79,65,35,2,7
257,32,15,12,30,89,2,7
258,48,49,45,35,40,13,3
259,61,48,46,41,48,100,32
260,17,17,15,41,17,11,27
261,26,48,43,28,49,2,64
262,67,56,57,53,50,4,6
263,32,31,32,59,61,1,0
264,27,56,50,32,52,0,0
265,62,62,72,82,34,10,2
266,71,61,68,73,53,7,0
267,45,57,52,30,50,3,0
268,69,64,57,30,45,3,0
269,74,59,56,38,44,3,2
270,81,59,59,49,28,1,0
271,52,47,51,65,40,2,2
272,18,11,8,30,85,2,6
273,54,56,52,36,44,13,5
274,68,51,49,40,57,100,25
275,16,11,7,28,0,11,3
276,30,49,41,16,47,2,6
277,57,54,50,35,36,4,6
278,43,42,38,35,33,10,6
279,75,62,60,43,49,7,6
280,42,65,54,12,52,3,6
281,72,65,57,23,44,3,6
282,67,65,57,23,44,3,6
283,75,53,48,31,30,1,6
284,33,30,25,26,72,2,6
285,33,27,22,26,72,2,6
286,50,53,47,28,41,13,6
287,15,42,37,32,46,2,6
288,45,42,45,65,44,4,6
289,31,28,28,51,34,10,6
290,51,42,46,71,48,7,6
291,50,42,47,71,49,7,6
292,28,64,56,23,53,3,6
293,54,56,57,52,43,3,6
294,66,46,53,76,27,1,6
295,30,32,35,63,76,2,6
296,34,39,45,78,37,13,6
297,36,51,43,23,49,2,6
298,73,50,49,45,46,4,6
299,47,32,30,38,36,10,6
300,48,32,28,38,36,10,6
301,65,46,47,54,50,7,6
302,48,66,56,18,54,3,6
303,78,66,61,32,43,3,6
304,94,56,57,57,26,1,6
305,45,17,16,45,96,2,6
306,70,50,50,51,45,13,6
307,30,47,40,27,48,2,6
308,65,48,49,56,47,4,6
309,46,27,27,50,35,10,6
310,47,26,25,50,35,10,6
311,68,46,50,67,47,7,6
312,39,56,51,26,49,3,6
313,74,61,59,43,41,3,6
314,87,56,59,61,28,1,6
315,40,39,43,66,42,2,6
316,50,42,45,64,30,13,6
